Name,overall,position,age,height,weight,intl_rep,pace,dribbling,shooting,passing,defending,physicality,pref_foot
Miguel Almir??n,79,CAM,24,175,63,1,89,79,73,74,56,59,Left
Pablo Batalla,78,CAM,34,170,68,1,72,76,71,82,42,70,Right
Marcel Sabitzer,78,CAM,24,177,74,1,83,78,78,71,32,76,Right
Alper Potuk,77,CAM,27,177,67,1,86,80,68,73,49,68,Right
Papa Alioune Ndiaye,77,CAM,27,180,76,1,85,78,74,72,61,75,Right
Lucas Andersen,76,CAM,24,184,73,1,81,81,67,71,36,55,Right
Paolo Hurtado,76,CAM,28,176,72,1,82,77,73,73,46,57,Right
Bart Ramselaar,76,CAM,22,180,74,1,84,77,66,70,49,70,Right
Geoffrey Bia,75,CAM,29,180,79,1,81,75,77,73,20,60,Right
Stuart Armstrong,75,CAM,26,183,75,1,84,75,71,71,62,73,Right
Amato Ciciretti,75,CAM,24,170,62,1,86,76,67,73,29,49,Left
Gonzalo Mart??nez,75,CAM,25,172,75,1,84,82,69,68,27,57,Left
Gast??n Pereiro,81,CAM,23,188,79,1,80,85,85,78,50,78,Left
Ilson Pereira Junior,76,CAM,32,178,85,1,74,83,77,76,65,75,Right
Kieran Dowell,76,CAM,20,185,80,1,74,80,77,76,54,65,Left
Matej Vydra,78,CAM,26,180,73,1,85,80,78,74,33,70,Right
Jos?© M?°rcio da Costa,81,CAM,35,170,67,1,80,85,80,82,49,71,Right
Ryota Morioka,76,CAM,27,180,70,1,76,78,70,78,42,63,Right
Javier Eraso Go?±i,80,CAM,28,180,71,1,70,75,80,81,64,80,Right
Geoffrey Bia,75,CAM,29,180,79,1,81,75,77,73,20,60,Right
Amato Ciciretti,75,CAM,24,170,62,1,86,76,67,73,29,49,Left
Michele Rizzi,76,CAM,30,181,75,1,78,70,79,75,70,76,Right
Wahbi Khazri,82,CAM,27,182,76,1,80,83,85,83,47,73,Right
Giovani Lo Celso,75,CAM,22,177,69,1,75,77,62,76,40,63,Left
Marcel Sabitzer,81,CAM,24,177,74,1,83,80,79,74,40,76,Right
Alexey Miranchuk,77,CAM,22,182,74,1,73,77,68,73,30,64,Left
Yusuf Yazici,75,CAM,21,184,78,1,74,76,71,76,48,71,Left
Emre Akbaba,75,CAM,26,180,73,1,75,74,73,75,54,65,Left
Hany Mukhtar,75,CAM,23,173,70,1,79,81,66,71,38,56,Right
Erhun Oztumer,77,CAM,27,160,60,1,84,80,77,75,24,57,Left
Peter ??ulj,75,CAM,25,185,80,1,76,77,70,77,68,70,Left
Luca Tremolada,76,CAM,26,176,69,1,82,78,69,74,28,65,Left
Bradley Dack,85,CAM,24,175,71,1,87,83,86,84,60,81,Right
Hans Vanaken,81,CAM,26,194,80,1,53,80,80,85,49,72,Right
James Maddison,86,CAM,21,179,73,1,84,86,86,84,38,60,Right
Matƒõj Vydra,85,CAM,26,180,73,1,90,86,87,79,37,76,Right
Nick Powell,83,CAM,24,183,65,1,80,81,83,75,47,74,Right
Bradley Dack,85,CAM,24,175,71,1,87,83,86,84,60,81,Right
Miguel Almir??n,82,CAM,24,175,63,1,92,83,82,78,59,62,Left
Gast??n Pereiro,84,CAM,23,188,79,1,83,87,88,83,52,81,Left
Carlos Villanueva,87,CAM,32,173,73,1,70,90,84,89,48,58,Left
Giovani Lo Celso,84,CAM,22,177,69,1,84,87,81,86,46,74,Left
Mauro D??az,81,CAM,27,170,62,1,78,82,73,85,44,63,Right
Mason Mount,75,CAM,19,175,64,1,79,80,76,74,48,57,Right
Alejandro Pozuelo Melero,82,CAM,27,172,73,1,63,84,73,84,53,61,Right
Tom Rogiƒá,81,CAM,25,187,80,1,77,82,80,73,39,69,Left
Alexandr Golovin,87,CAM,22,180,69,1,87,87,80,88,67,70,Right
Stuart Armstrong,75,CAM,26,183,75,1,84,75,71,71,62,73,Right
Marc Rzatkowski,79,CAM,28,172,65,1,82,82,78,78,60,66,Left
